Country Name,Series Name,2019values
Bhutan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",40.29859817
Bhutan,Population density (people per sq. km of land area),20.12215522
Bhutan,GDP per capita (constant 2015 US$),3219.641439
Bolivia,CO2 emissions (metric tons per capita),1.853461506
Bolivia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.83286559
Bolivia,Population density (people per sq. km of land area),10.87170221
Bolivia,GDP per capita (constant 2015 US$),3242.948845
Bosnia and Herzegovina,CO2 emissions (metric tons per capita),6.285663956
Bosnia and Herzegovina,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.46633319
Bosnia and Herzegovina,Population density (people per sq. km of land area),65.63888672
Bosnia and Herzegovina,GDP per capita (constant 2015 US$),5558.082553
Botswana,CO2 emissions (metric tons per capita),2.879663256
Botswana,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.71873626
Botswana,Population density (people per sq. km of land area),4.410745858
Botswana,GDP per capita (constant 2015 US$),6485.46044
Brazil,CO2 emissions (metric tons per capita),2.050770129
Brazil,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.65399121
Brazil,Population density (people per sq. km of land area),25.33851766
Brazil,GDP per capita (constant 2015 US$),8592.210218
British Virgin Islands,CO2 emissions (metric tons per capita),..
British Virgin Islands,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
British Virgin Islands,Population density (people per sq. km of land area),204.0666667
British Virgin Islands,GDP per capita (constant 2015 US$),..
Brunei Darussalam,CO2 emissions (metric tons per capita),16.11193294
Brunei Darussalam,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.680643971
Brunei Darussalam,Population density (people per sq. km of land area),83.12106262
Brunei Darussalam,GDP per capita (constant 2015 US$),30313.41729
Bulgaria,CO2 emissions (metric tons per capita),5.613710103
Bulgaria,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.36594583
Bulgaria,Population density (people per sq. km of land area),64.25719418
Bulgaria,GDP per capita (constant 2015 US$),8242.313996
Burkina Faso,CO2 emissions (metric tons per capita),0.269501589
Burkina Faso,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",53.67033962
Burkina Faso,Population density (people per sq. km of land area),76.57762792
Burkina Faso,GDP per capita (constant 2015 US$),716.0121974
Burundi,CO2 emissions (metric tons per capita),0.059571339
Burundi,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.27977863
Burundi,Population density (people per sq. km of land area),462.41581
Burundi,GDP per capita (constant 2015 US$),270.1372773
Cabo Verde,CO2 emissions (metric tons per capita),1.069615098
Cabo Verde,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",51.11721004
Cabo Verde,Population density (people per sq. km of land area),143.1836228
Cabo Verde,GDP per capita (constant 2015 US$),3690.656476
Cambodia,CO2 emissions (metric tons per capita),1.116330426
Cambodia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.1120864
Cambodia,Population density (people per sq. km of land area),91.81818491
Cambodia,GDP per capita (constant 2015 US$),1465.969535
Cameroon,CO2 emissions (metric tons per capita),0.370691707
Cameroon,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",64.47088106
Cameroon,Population density (people per sq. km of land area),54.54156036
Cameroon,GDP per capita (constant 2015 US$),1454.564069
Canada,CO2 emissions (metric tons per capita),15.05274694
Canada,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.100156005
Canada,Population density (people per sq. km of land area),4.193949311
Canada,GDP per capita (constant 2015 US$),45113.06628
Cayman Islands,CO2 emissions (metric tons per capita),..
Cayman Islands,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Cayman Islands,Population density (people per sq. km of land area),275.5583333
Cayman Islands,GDP per capita (constant 2015 US$),82170.59303
Central African Republic,CO2 emissions (metric tons per capita),0.045188205
Central African Republic,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",46.3767539
Central African Republic,Population density (people per sq. km of land area),8.361944204
Central African Republic,GDP per capita (constant 2015 US$),381.4140464
Chad,CO2 emissions (metric tons per capita),0.098196389
Chad,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",59.2825236
Chad,Population density (people per sq. km of land area),12.80723158
Chad,GDP per capita (constant 2015 US$),652.703216
Channel Islands,CO2 emissions (metric tons per capita),..
Channel Islands,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",..
Channel Islands,Population density (people per sq. km of land area),..
Channel Islands,GDP per capita (constant 2015 US$),..
Chile,CO2 emissions (metric tons per capita),4.827620075
Chile,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.76585719
Chile,Population density (people per sq. km of land area),25.60681316
